id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
anci,,Anci - Associazione Nazionale Comuni Italiani,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,1,1,Associazione Nazionale Dei Comuni Italiani,RM,Lazio,regione-toscana
ucp_ar,,Unione dei Comuni del Pratomagno,3,405.0,100.0,100.0,100.0,110.0,75.0,20.0,1,1,Unione dei Comuni del Pratomagno,AR,Toscana,regione-toscana
inps,,Istituto Nazionale di Previdenza Sociale,2448,398.22,98.33,100.0,99.97,103.25,75.0,20.0,2,1,Istituto Nazionale Previdenza Sociale - INPS,RM,Lazio,inps
c_l400,,Comune di Treviglio,44,398.18,98.32,100.0,94.55,108.64,75.0,20.0,1,1,Comune di Treviglio,BG,Lombardia,comune-di-treviglio
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0,1,1,Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,BA,Puglia,regione-puglia
unical,,Università della Calabria,5,393.0,97.04,100.0,100.0,98.0,75.0,20.0,1,1,Università della Calabria,CS,Calabria,universita-della-calabria
c_h901,,Comune di San Giovanni Valdarno,16,390.86,96.51,100.0,100.0,95.86,75.0,20.0,1,1,Comune di San Giovanni Valdarno,AR,Toscana,regione-toscana
c_i804,,Comune di Sulmona,12,388.33,95.88,100.0,100.0,93.33,75.0,20.0,1,1,Comune di Sulmona,AQ,Abruzzo,comune-di-sulmona
c_d735,,Comune di Fosdinovo,15,387.35,95.64,100.0,100.0,92.35,75.0,20.0,1,1,Comune di Fosdinovo,MS,Toscana,regione-toscana
atsbs,,Agenzia di Tutela della Salute di Brescia,10,387.0,95.56,100.0,100.0,92.0,75.0,20.0,1,1,Agenzia di Tutela della Salute di Brescia,BS,Lombardia,agenzia-di-tutela-della-salute-di-brescia
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0,1,1,Azienda Sanitaria Locale di Taranto,TA,Puglia,regione-puglia
c_l537,,Comune di Vaiano,18,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Vaiano,PO,Toscana,regione-toscana
dmdapy,,Città metropolitana di Torino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,,regione-piemonte
c_d208,,Comune di Cuorgnè,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cuorgne',TO,Piemonte,regione-piemonte
