id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0,1,1,Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,BA,Puglia
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0,1,1,Azienda Sanitaria Locale di Taranto,TA,Puglia
arlpa,,ARPAL,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per Le Politiche Attive del Lavoro - Arpal Puglia,BA,Puglia
c_f916,,Comune di Nociglia,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Nociglia,LE,Puglia
asl_br,,ASL BRINDISI,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Azienda Sanitaria Locale di Brindisi,BR,Puglia
c_d223,,Comune di Cursi,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cursi,LE,Puglia
c_l172,,Comune di Santa Cesarea Terme,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Santa Cesarea Terme,LE,Puglia
c_f221,,Comune di Minervino di Lecce,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Minervino di Lecce,LE,Puglia
c_m187,,Comune di Zollino,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Zollino,LE,Puglia
c_l010,,Comune di Surano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Surano,LE,Puglia
c_f117,,Comune di Melpignano,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Melpignano,LE,Puglia
arltl_0,,ARTI Puglia,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per La Tecnologia e L'Innovazione della Regione Puglia,BA,Puglia
asset,,ASSET Puglia,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale Strategica per Lo Sviluppo Ecosostenibile del Territorio,BA,Puglia
c_b584,,Comune di Candela,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Candela,FG,Puglia
c_l115,,Comune di San Pietro in Lama,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Ternate,VA,Lombardia
c_e882,,Comune di Manduria,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Manduria,TA,Puglia
c_f194,,Comune di Miggiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Miggiano,LE,Puglia
c_g291,,Comune Palo Del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Palo del Colle,BA,Puglia
c_h096,,Città di Putignano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Putignano,BA,Puglia
c_e053,,Comune di Giuggianello,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Giuggianello,LE,Puglia
c_l008,,Comune di Supersano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Supersano,LE,Puglia
c_l887,,Comune di Specchia,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Specchia,LE,Puglia
pusv,,Puglia Sviluppo SpA,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Puglia Sviluppo S.P.A.,BA,Puglia
adisu,,Adisu,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia per Il Diritto allo Studio Universitario di Puglia,BA,Puglia
ipres,,IPRES,51,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Istituto Pugliese di Ricerche Economiche e Sociali Ipres,BA,Puglia
c_a281,,Comune di Andrano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Andrano,LE,Puglia
c_e038,,Comune di Gioia del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Gioia del Colle,BA,Puglia
c_f881,,Comune di Neviano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Neviano,LE,Puglia
c_b690,,Comune di Caprarica di Lecce,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Caprarica di Lecce,LE,Puglia
crpuglia,,Consiglio Regionale della Puglia,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Consiglio Regionale della Puglia,BA,Puglia
c_b822,,Comune di Carpignano Salentino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Carpignano Salentino,LE,Puglia
c_f027,,Comune di Massafra,38,384.21,94.87,100.0,100.0,89.21,75.0,20.0,1,1,Comune di Massafra,TA,Puglia
artpp,,ARET - Pugliapromozione,23,384.13,94.85,100.0,100.0,89.13,75.0,20.0,1,1,Agenzia Regionale del Turismo - Pugliapromozione,BA,Puglia
r_puglia,,Regione Puglia,247,383.91,94.79,100.0,99.6,89.31,75.0,20.0,1,1,Regione Puglia,BA,Puglia
c_d863,,Comune di Galatone,39,379.62,93.73,100.0,93.85,90.77,75.0,20.0,1,1,Comune di Galatone,LE,Puglia
c_l328,,Città di Trani,5,379.0,93.58,100.0,100.0,84.0,75.0,20.0,1,1,Comune di Trani,BT,Puglia
ato_pu,,Autorità idrica Pugliese (AIP),13,375.77,92.78,100.0,100.0,80.77,75.0,20.0,1,1,Autorita' Idrica Pugliese,BA,Puglia
c_c978,,Comune di Copertino,16,375.0,92.59,100.0,90.0,90.0,75.0,20.0,1,1,Comune di Copertino,LE,Puglia
c_a874,,Comune di Binetto,3,375.0,92.59,100.0,100.0,80.0,75.0,20.0,1,1,Comune di Binetto,BA,Puglia
arpap,,ARPA Puglia ,21,371.67,91.77,100.0,87.62,89.05,75.0,20.0,1,1,Agenzia Regionale per la Protezione dell'Ambiente della Puglia,BA,Puglia
arsls,,Agenzia Regionale Strategica per la Salute ed il Sociale,75,366.87,90.59,100.0,85.07,86.8,75.0,20.0,1,1,Agenzia Regionale Strategica per La Salute Ed Il Sociale,BA,Puglia
c_h985,,Comune di San Marco in Lamis,10,363.0,89.63,100.0,84.0,84.0,75.0,20.0,1,1,Comune di San Marco In Lamis,FG,Puglia
c_g251,,Comune di Palagianello,3,358.33,88.48,100.0,73.33,90.0,75.0,20.0,1,1,Comune di Palagianello,TA,Puglia
05487980723,,AMIU,8,355.0,87.65,100.0,100.0,60.0,75.0,20.0,1,0,,,
cciaa_le,,Camera di Commercio di Lecce,450,353.51,87.29,100.0,68.0,90.51,75.0,20.0,1,1,"Camera di Commercio, Industria, Artigianato e Agricoltura di Lecce",LE,Puglia
c_a662,,Comune di Bari,158,351.96,86.9,100.0,100.0,56.96,75.0,20.0,1,1,Comune di Bari,BA,Puglia
c_e506,,Comune di Lecce,474,351.6,86.81,100.0,67.49,89.11,75.0,20.0,1,1,Comune di Lecce,LE,Puglia
c_e986,,Comune di Martina Franca,32,349.38,86.27,100.0,65.0,89.38,75.0,20.0,1,1,Comune di Martina Franca,TA,Puglia
c_g098,,Comune di Oria,21,347.86,85.89,100.0,65.71,87.14,75.0,20.0,1,1,Comune di Oria,BR,Puglia
c_e471,,Comune di Latiano,9,338.33,83.54,100.0,55.56,87.78,75.0,20.0,1,1,Comune di Latiano,BR,Puglia
c_d171,,Comune di Crispiano,36,335.56,82.85,100.0,53.33,87.22,75.0,20.0,1,1,Comune di Crispiano,TA,Puglia
c_f816,,Comune di Muro Leccese,12,335.0,82.72,100.0,53.33,86.67,75.0,20.0,1,1,Comune di Muro Leccese,LE,Puglia
c_a893,,Comune di Bitonto,55,326.82,80.7,100.0,41.82,90.0,75.0,20.0,1,1,Comune di Bitonto,BA,Puglia
c_f563,,Comune di Montemesola,40,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1,1,Comune di Montemesola,TA,Puglia
c_i950,,Comune di Sternatia,3,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1,1,Comune di Sternatia,LE,Puglia
