id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
c_g251,,Comune di Palagianello,4,365.0,90.12,100.0,80.0,90.0,75.0,20.0,1,1,Comune di Palagianello,TA,Puglia,regione-puglia
c_h985,,Comune di San Marco in Lamis,10,363.0,89.63,100.0,84.0,84.0,75.0,20.0,1,1,Comune di San Marco In Lamis,FG,Puglia,comune-di-san-marco-in-lamis;regione-puglia
c_e986,,Comune di Martina Franca,32,349.38,86.27,100.0,65.0,89.38,75.0,20.0,1,1,Comune di Martina Franca,TA,Puglia,regione-puglia
c_e506,,Comune di Lecce,474,348.44,86.03,100.0,64.45,88.99,75.0,20.0,1,1,Comune di Lecce,LE,Puglia,regione-puglia
cciaa_le,,Camera di Commercio di Lecce,450,348.36,86.01,100.0,62.84,90.51,75.0,20.0,1,1,"Camera di Commercio, Industria, Artigianato e Agricoltura di Lecce",LE,Puglia,regione-puglia
c_g098,,Comune di Oria,21,347.86,85.89,100.0,65.71,87.14,75.0,20.0,1,1,Comune di Oria,BR,Puglia,regione-puglia
c_a662,,Comune di Bari,171,346.17,85.47,100.0,63.98,87.19,75.0,20.0,1,1,Comune di Bari,BA,Puglia,regione-puglia
c_c978,,Comune di Copertino,16,339.38,83.8,100.0,56.88,87.5,75.0,20.0,1,1,Comune di Copertino,LE,Puglia,regione-puglia
c_f816,,Comune di Muro Leccese,12,335.0,82.72,100.0,53.33,86.67,75.0,20.0,1,1,Comune di Muro Leccese,LE,Puglia,regione-puglia
c_l887,,Comune di Specchia,6,331.67,81.89,100.0,46.67,90.0,75.0,20.0,1,1,Comune di Specchia,LE,Puglia,regione-puglia
c_d171,,Comune di Crispiano,36,326.67,80.66,100.0,44.44,87.22,75.0,20.0,1,1,Comune di Crispiano,TA,Puglia,regione-puglia
c_e471,,Comune di Latiano,9,311.67,76.96,100.0,28.89,87.78,75.0,20.0,1,1,Comune di Latiano,BR,Puglia,regione-puglia
c_a893,,Comune di Bitonto,55,310.82,76.75,100.0,25.82,90.0,75.0,20.0,1,1,Comune di Bitonto,BA,Puglia,regione-puglia
c_f563,,Comune di Montemesola,40,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1,1,Comune di Montemesola,TA,Puglia,regione-puglia
c_i950,,Comune di Sternatia,3,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1,1,Comune di Sternatia,LE,Puglia,regione-puglia
