id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
cmto,,Città metropolitana di Torino,67,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Citta' Metropolitana di Torino,TO,Piemonte
c_f280,,Comune di Mola di Bari,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Mola di Bari,BA,Puglia
c_f221,,Comune di Minervino di Lecce,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Minervino di Lecce,LE,Puglia
cmvi,,Comunità Montana Valle Imagna,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comunita' Montana Valle Imagna,BG,Lombardia
c_c529,,Comune di Cerreto Guidi,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cerreto Guidi,FI,Toscana
c_f831,,Comune di Pineto,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Pineto,TE,Abruzzo
c_i452,,Comune di Sassari,23,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Sassari,SS,Sardegna
c_e335,,Comune di Isernia,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Isernia,IS,Molise
c_d600,,Comune di Finale Ligure,2,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Finale Ligure,SV,Liguria
c_l571,,Comune di Valenzano,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Valenzano,BA,Puglia
c_f585,,Comune di Roseto degli Abruzzi,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Roseto Degli Abruzzi,TE,Abruzzo
c_m187,,Comune di Zollino,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Zollino,LE,Puglia
c_b492,,Comune di Campagna,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Campagna,SA,Campania
c_b675,,Comune di Capoterra,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Capoterra,CA,Sardegna
c_a359,,Comune di Arbus,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Arbus,VS,Sardegna
c_l219,,Comune di Rivalta di Torino,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Torino,TO,Piemonte
uni_pv,,Università degli Studi di Pavia,2,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi di Pavia,PV,Lombardia
01582480537,,Attivarti.org,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
msbcs,,Messinaservizi Bene Comune S.p.A.,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Messina Servizi Bene Comune Spa,ME,Sicilia
c_l010,,Comune di Surano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Surano,LE,Puglia
c_h793,,Comune di San Cesario di Lecce,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di San Cesario di Lecce,LE,Puglia
