id,slug,titolare,n_dataset,scoring,pct,rating,findability,accessibility,reusability,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
c_f194,,Comune di Miggiano,3,6.46,86.13,Excellent,4.5,0.5,1.5,1,1,Comune di Miggiano,LE,Puglia,regione-puglia
c_b690,,Comune di Caprarica di Lecce,3,6.46,86.13,Excellent,4.5,0.5,1.5,1,1,Comune di Caprarica di Lecce,LE,Puglia,regione-puglia
r_puglia,,Regione Puglia,247,6.43,85.73,Excellent,4.5,0.5,1.5,1,1,Regione Puglia,BA,Puglia,regione-puglia
c_f881,,Comune di Neviano,3,6.38,85.07,Excellent,4.5,0.5,1.5,1,1,Comune di Neviano,LE,Puglia,regione-puglia
crpuglia,,Consiglio Regionale della Puglia,1,6.38,85.07,Excellent,4.5,0.5,1.5,1,1,Consiglio Regionale della Puglia,BA,Puglia,regione-puglia
c_b584,,Comune di Candela,4,6.36,84.8,Excellent,4.5,0.5,1.5,1,1,Comune di Candela,FG,Puglia,regione-puglia
arltl_0,,ARTI Puglia,13,6.3,84.0,Excellent,4.5,0.5,1.5,1,1,Agenzia Regionale per La Tecnologia e L'Innovazione della Regione Puglia,BA,Puglia,regione-puglia
c_l328,,Città di Trani,5,6.3,84.0,Excellent,4.5,0.5,1.5,1,1,Comune di Trani,BT,Puglia,regione-puglia
c_e882,,Comune di Manduria,5,6.25,83.33,Excellent,4.5,0.5,1.5,1,1,Comune di Manduria,TA,Puglia,regione-puglia
c_a874,,Comune di Binetto,3,6.12,81.6,Excellent,4.5,0.5,1.5,1,1,Comune di Binetto,BA,Puglia,regione-puglia
