id,slug,titolare,n_dataset,scoring,pct,rating,findability,accessibility,reusability,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
585452e2-12b4-4187-89d6-c33068eff19f,regione-puglia,Regione Puglia,1996,6.67,88.93,Excellent,4.5,0.5,1.5,,,,,,
954a56b3-6ace-4e65-947b-e737b8824d9e,comune-di-san-marco-in-lamis,Comune di San Marco in Lamis,3,6.62,88.27,Excellent,4.5,0.5,1.5,,,,,,
